,OBJECTID,id,language_,rights,rightsHolder,institutionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,sex,lifeStage,samplingProtocol,year_,month_,day_,waterBody,country,decimalLatitude,decimalLongitude,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,specificEpithet,scientificNameAuthorship,vernacularName
408,408,SharkSurvey2009_141331,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=136cm,SharkSurvey2009_141331,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
409,409,SharkSurvey2009_141332,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=181cm,SharkSurvey2009_141332,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
410,410,SharkSurvey2009_141333,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=170cm,SharkSurvey2009_141333,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
411,411,SharkSurvey2009_141334,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=172cm,SharkSurvey2009_141334,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
412,412,SharkSurvey2009_141335,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=114cm,SharkSurvey2009_141335,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
413,413,SharkSurvey2009_141336,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=163cm,SharkSurvey2009_141336,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
414,414,SharkSurvey2009_141337,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=156cm,SharkSurvey2009_141337,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
415,415,SharkSurvey2009_141338,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=114cm,SharkSurvey2009_141338,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
416,416,SharkSurvey2009_141339,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=139cm,SharkSurvey2009_141339,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
417,417,SharkSurvey2009_141340,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=172cm,SharkSurvey2009_141340,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
418,418,SharkSurvey2009_141341,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;,SharkSurvey2009_141341,undetermined,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
419,419,SharkSurvey2009_141342,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=110cm,SharkSurvey2009_141342,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
420,420,SharkSurvey2009_141343,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=127cm,SharkSurvey2009_141343,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
421,421,SharkSurvey2009_141344,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=155cm,SharkSurvey2009_141344,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
422,422,SharkSurvey2009_141345,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=195cm,SharkSurvey2009_141345,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
423,423,SharkSurvey2009_141346,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=152cm,SharkSurvey2009_141346,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
424,424,SharkSurvey2009_141347,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=129cm,SharkSurvey2009_141347,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
425,425,SharkSurvey2009_141348,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=164cm,SharkSurvey2009_141348,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
426,426,SharkSurvey2009_141349,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=133cm,SharkSurvey2009_141349,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
427,427,SharkSurvey2009_141350,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=155cm,SharkSurvey2009_141350,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
428,428,SharkSurvey2009_141351,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=168cm,SharkSurvey2009_141351,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
429,429,SharkSurvey2009_141352,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=124cm,SharkSurvey2009_141352,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
430,430,SharkSurvey2009_141353,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=160cm,SharkSurvey2009_141353,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
431,431,SharkSurvey2009_141354,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;,SharkSurvey2009_141354,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
432,432,SharkSurvey2009_141355,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=148cm,SharkSurvey2009_141355,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
433,433,SharkSurvey2009_141356,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=163cm,SharkSurvey2009_141356,female,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
434,434,SharkSurvey2009_141357,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;,SharkSurvey2009_141357,,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
435,435,SharkSurvey2009_141358,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=146cm,SharkSurvey2009_141358,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
436,436,SharkSurvey2009_141359,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=149cm,SharkSurvey2009_141359,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
437,437,SharkSurvey2009_141360,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=192cm,SharkSurvey2009_141360,male,NA,Longline fishing gear,2009,6,18,Northwest Atlantic,Canada,44.99,-54.95,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
438,438,SharkSurvey2009_141361,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=170cm,SharkSurvey2009_141361,male,NA,Longline fishing gear,2009,6,26,Northwest Atlantic,Canada,47.76,-59.61,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
439,439,SharkSurvey2009_141362,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=182cm,SharkSurvey2009_141362,male,NA,Longline fishing gear,2009,6,26,Northwest Atlantic,Canada,47.76,-59.61,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
440,440,SharkSurvey2009_140790,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=157cm,SharkSurvey2009_140790,female,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
441,441,SharkSurvey2009_140791,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=162cm,SharkSurvey2009_140791,male,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
442,442,SharkSurvey2009_140792,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=139cm,SharkSurvey2009_140792,female,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
443,443,SharkSurvey2009_140793,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=173cm,SharkSurvey2009_140793,male,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
444,444,SharkSurvey2009_140794,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=188cm,SharkSurvey2009_140794,male,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
445,445,SharkSurvey2009_140795,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=178.5cm,SharkSurvey2009_140795,male,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
446,446,SharkSurvey2009_140796,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=152cm,SharkSurvey2009_140796,male,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
447,447,SharkSurvey2009_140797,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=175cm,SharkSurvey2009_140797,female,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
448,448,SharkSurvey2009_140798,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=135cm,SharkSurvey2009_140798,female,NA,Longline fishing gear,2009,6,9,Northwest Atlantic,Canada,44.02,-62.86,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
